week,value
2020-07-19,144.03765220180853
2020-07-26,139.0156396105426
2020-08-02,173.99340307775856
2020-08-09,142.97138959319338
2020-08-16,145.94915397396292
2020-08-23,184.9271396034024
2020-08-30,236.90490489045112
2020-09-06,183.8828896411395
2020-09-13,170.86065582725186
2020-09-20,122.83863970637582
2020-09-27,129.81640678439408
2020-10-04,154.7943897990816
2020-10-11,108.7721577619064
2020-10-18,94.75013991922819
2020-10-25,293.7279087598169
2020-11-01,116.70589006678681
2020-11-08,161.68365977815355
2020-11-15,167.66164024172875
2020-11-22,112.63941081694436
2020-11-29,-4.382609555974312
2020-12-06,92.59516187621668
2020-12-13,-4.426859326350382
2020-12-20,140.5509129559981
2020-12-27,108.52889093057271
2021-01-03,119.50666405631573
2021-01-10,124.4846412147672
2021-01-17,206.4624151771964
2021-01-24,88.4403915262057
2021-01-31,160.4181663186669
2021-02-07,124.39614186486102
