week,value
2020-07-19,238.5357328124748
2020-07-26,226.8624689743126
2020-08-02,253.18920513615063
2020-08-09,230.51594129798855
2020-08-16,197.84267745982632
2020-08-23,215.1694136216643
2020-08-30,304.4961497835021
2020-09-06,259.82288594534003
2020-09-13,230.14962210717783
2020-09-20,207.4763582690158
2020-09-27,185.80309443085346
2020-10-04,240.12983059269146
2020-10-11,242.4565667545293
2020-10-18,199.78330291636723
2020-10-25,326.1100390782052
2020-11-01,210.43677524004303
2020-11-08,276.763511401881
2020-11-15,264.09024756371883
2020-11-22,259.41698372555675
2020-11-29,284.7437198873946
2020-12-06,237.07045604923252
2020-12-13,224.39719221107038
2020-12-20,306.7239283729083
2020-12-27,293.05066453474615
2021-01-03,296.377400696584
2021-01-10,242.70413685842186
2021-01-17,295.03087302025983
2021-01-24,238.35760918209766
2021-01-31,334.6843453439356
2021-02-07,255.01108150577332
