week,value
2020-07-19,191.1540487565321
2020-07-26,190.2760164121346
2020-08-02,217.39798406773724
2020-08-09,185.51995172333977
2020-08-16,174.64191937894225
2020-08-23,189.7638870345448
2020-08-30,218.88585469014737
2020-09-06,207.0078223457499
2020-09-13,198.12979000135232
2020-09-20,184.25175765695494
2020-09-27,168.37372531255733
2020-10-04,219.49569296815994
2020-10-11,193.61766062376245
2020-10-18,188.73962827936498
2020-10-25,255.86159593496762
2020-11-01,167.9835635905701
2020-11-08,276.10553124617263
2020-11-15,244.22749890177528
2020-11-22,202.34946655737778
2020-11-29,214.47143421298028
2020-12-06,195.59340186858284
2020-12-13,165.71536952418535
2020-12-20,254.83733717978782
2020-12-27,205.9593048353904
2021-01-03,217.0812724909929
2021-01-10,198.20324014659548
2021-01-17,229.32520780219798
2021-01-24,206.44717545780054
2021-01-31,271.56914311340313
2021-02-07,220.69111076900555
