week,value
2020-07-19,138.51102301717896
2020-07-26,167.5110231194428
2020-08-02,155.51102327850376
2020-08-09,158.51102348297957
2020-08-16,113.51102374952495
2020-08-23,164.51102405618147
2020-08-30,183.51102443010285
2020-09-06,163.51102483892998
2020-09-13,161.51102532009793
2020-09-20,144.511025831107
2020-09-27,118.51102641937142
2020-10-04,213.51102703259318
2020-10-11,172.51102772778475
2020-10-18,136.5110284432695
2020-10-25,204.51102924519978
2020-11-01,116.51103006301655
2020-11-08,204.51103097147933
2020-11-15,185.5110318917141
2020-11-22,153.51103290648643
2020-11-29,249.51103392924156
2020-12-06,167.5110350500853
2020-12-13,94.5110361754779
2020-12-20,157.51103740214057
2020-12-27,134.51103863030104
2021-01-03,169.51103996251805
2021-01-10,135.5110412935887
2021-01-17,184.5110427310843
2021-01-24,113.51104416521746
2021-01-31,208.51104570770684
2021-02-07,165.5110472450632
