week,value
2020-07-19,182.88946744084356
2020-07-26,146.88946735772714
2020-08-02,166.88946727461067
2020-08-09,171.8894671914943
2020-08-16,181.88946710837774
2020-08-23,174.88946702526135
2020-08-30,196.8894669421449
2020-09-06,148.88946685902843
2020-09-13,138.88946677591193
2020-09-20,118.88946669279557
2020-09-27,112.88946660967892
2020-10-04,167.88946652656253
2020-10-11,137.88946644344608
2020-10-18,105.88946636032952
2020-10-25,157.88946627721327
2020-11-01,134.88946619409674
2020-11-08,159.88946611098038
2020-11-15,176.88946602786385
2020-11-22,172.88946594474746
2020-11-29,263.88946586163104
2020-12-06,150.8894657785145
2020-12-13,139.8894656953981
2020-12-20,237.88946561228158
2020-12-27,183.88946552916516
2021-01-03,169.88946544604866
2021-01-10,147.88946536293224
2021-01-17,197.88946527981582
2021-01-24,166.88946519669935
2021-01-31,211.8894651135829
2021-02-07,202.8894650304664
