week,value
2020-07-19,182.31259561027042
2020-07-26,176.15740130421008
2020-08-02,198.00220699814992
2020-08-09,176.84701269208966
2020-08-16,154.69181838602933
2020-08-23,168.53662407996904
2020-08-30,174.38142977390876
2020-09-06,173.2262354678484
2020-09-13,153.07104116178806
2020-09-20,148.91584685572784
2020-09-27,132.7606525496674
2020-10-04,173.60545824360716
2020-10-11,164.4502639375469
2020-10-18,161.2950696314866
2020-10-25,194.13987532542643
2020-11-01,166.9846810193661
2020-11-08,233.82948671330576
2020-11-15,234.67429240724553
2020-11-22,205.51909810118522
2020-11-29,275.3639037951249
2020-12-06,197.2087094890646
2020-12-13,169.05351518300438
2020-12-20,245.89832087694407
2020-12-27,216.74312657088376
2021-01-03,214.58793226482342
2021-01-10,193.43273795876314
2021-01-17,217.27754365270286
2021-01-24,184.12234934664255
2021-01-31,235.96715504058233
2021-02-07,215.81196073452196
