week,value
2020-07-19,284.5009734852274
2020-07-26,233.24016688779156
2020-08-02,267.9793602903558
2020-08-09,236.7185536929202
2020-08-16,192.45774709548436
2020-08-23,267.1969404980487
2020-08-30,296.9361339006129
2020-09-06,311.67532730317714
2020-09-13,264.41452070574127
2020-09-20,264.1537141083057
2020-09-27,220.89290751086978
2020-10-04,313.632100913434
2020-10-11,271.3712943159983
2020-10-18,237.1104877185625
2020-10-25,270.84968112112693
2020-11-01,245.58887452369117
2020-11-08,351.3280679262553
2020-11-15,365.0672613288196
2020-11-22,302.8064547313839
2020-11-29,437.5456481339481
2020-12-06,312.2848415365124
2020-12-13,255.02403493907664
2020-12-20,372.7632283416408
2020-12-27,327.502421744205
2021-01-03,293.2416151467693
2021-01-10,304.9808085493335
2021-01-17,395.7200019518978
2021-01-24,282.45919535446205
2021-01-31,375.1983887570263
2021-02-07,394.93758215959053
