week,value
2020-07-19,172.45304994881357
2020-07-26,138.8875847304659
2020-08-02,171.79043972112265
2020-08-09,139.53711448061887
2020-08-16,171.1537322289912
2020-08-23,140.1612528367771
2020-08-30,170.54191488359788
2020-09-06,140.76099239841562
2020-09-13,169.9540146802077
2020-09-20,141.3372869623459
2020-09-27,169.38909665075235
2020-10-04,141.89105303958823
2020-10-11,168.84626237690208
2020-10-18,142.4231713129465
2020-10-25,168.32464856126472
2020-11-01,142.93448803760367
2020-11-08,167.82342565443918
2020-11-15,143.42581638696504
2020-11-22,167.34179653574017
2020-11-29,143.89793774588992
2020-12-06,166.87899524549601
2020-12-13,144.35160295336834
2020-12-20,166.4342857669034
2020-12-27,144.78753349661923
2021-01-03,166.00696085550186
2021-01-10,145.2064226585086
2021-01-17,165.59634091440628
2021-01-24,145.60893662011324
2021-01-31,165.20177291350896
2021-02-07,145.99571552018287
