week,value
2020-07-19,103.57816262801498
2020-07-26,109.13288604098668
2020-08-02,110.02521084512817
2020-08-09,110.16855615629645
2020-08-16,110.19158350927214
2020-08-23,110.1952826814372
2020-08-30,110.19587692580048
2020-09-06,110.19597238671646
2020-09-13,110.19598772179921
2020-09-20,110.19599018526564
2020-09-27,110.19599058100312
2020-10-04,110.19599064457539
2020-10-11,110.19599065478779
2020-10-18,110.19599065642835
2020-10-25,110.19599065669189
2020-11-01,110.19599065673422
2020-11-08,110.19599065674102
2020-11-15,110.19599065674211
2020-11-22,110.1959906567423
2020-11-29,110.19599065674232
2020-12-06,110.19599065674232
2020-12-13,110.19599065674232
2020-12-20,110.19599065674232
2020-12-27,110.19599065674232
2021-01-03,110.19599065674232
2021-01-10,110.19599065674232
2021-01-17,110.19599065674232
2021-01-24,110.19599065674232
2021-01-31,110.19599065674232
2021-02-07,110.19599065674232
