week,value
2020-07-19,168.3847696250332
2020-07-26,133.6342708441616
2020-08-02,167.62236258354773
2020-08-09,134.74525383701777
2020-08-16,166.8829737606019
2020-08-23,135.7791562239712
2020-08-30,166.16806340405415
2020-09-06,136.74265355911643
2020-09-13,165.47861189376306
2020-09-20,137.64168979083576
2020-09-27,164.8152050594448
2020-10-04,138.48157165403444
2020-10-11,164.1781060958525
2020-10-18,139.26704984380459
2020-10-25,163.56731610104222
2020-11-01,140.0023888862795
2020-11-08,162.98262496136965
2020-11-15,140.69142734108613
2020-11-22,162.42365404958673
2020-11-29,141.33762972997613
2020-12-06,161.88989198332607
2020-12-13,141.94413138177362
2020-12-20,161.38072450471964
2020-12-27,142.51377720948756
2021-01-03,160.8954593830724
2021-01-10,143.0491552868453
2021-01-17,160.43334710729067
2021-01-24,143.55262596480836
2021-01-31,159.99359801965565
2021-02-07,144.02634716059913
