week,value
2020-07-19,134.7499951588333
2020-07-26,134.7499951588333
2020-08-02,134.7499951588333
2020-08-09,134.7499951588333
2020-08-16,134.7499951588333
2020-08-23,134.7499951588333
2020-08-30,134.7499951588333
2020-09-06,134.7499951588333
2020-09-13,134.7499951588333
2020-09-20,134.7499951588333
2020-09-27,134.7499951588333
2020-10-04,134.7499951588333
2020-10-11,134.7499951588333
2020-10-18,134.7499951588333
2020-10-25,134.7499951588333
2020-11-01,134.7499951588333
2020-11-08,134.7499951588333
2020-11-15,134.7499951588333
2020-11-22,134.7499951588333
2020-11-29,134.7499951588333
2020-12-06,134.7499951588333
2020-12-13,134.7499951588333
2020-12-20,134.7499951588333
2020-12-27,134.7499951588333
2021-01-03,134.7499951588333
2021-01-10,134.7499951588333
2021-01-17,134.7499951588333
2021-01-24,134.7499951588333
2021-01-31,134.7499951588333
2021-02-07,134.7499951588333
