week,value
2020-07-19,164.7249954985482
2020-07-26,164.7249954985482
2020-08-02,164.7249954985482
2020-08-09,164.7249954985482
2020-08-16,164.7249954985482
2020-08-23,164.7249954985482
2020-08-30,164.7249954985482
2020-09-06,164.7249954985482
2020-09-13,164.7249954985482
2020-09-20,164.7249954985482
2020-09-27,164.7249954985482
2020-10-04,164.7249954985482
2020-10-11,164.7249954985482
2020-10-18,164.7249954985482
2020-10-25,164.7249954985482
2020-11-01,164.7249954985482
2020-11-08,164.7249954985482
2020-11-15,164.7249954985482
2020-11-22,164.7249954985482
2020-11-29,164.7249954985482
2020-12-06,164.7249954985482
2020-12-13,164.7249954985482
2020-12-20,164.7249954985482
2020-12-27,164.7249954985482
2021-01-03,164.7249954985482
2021-01-10,164.7249954985482
2021-01-17,164.7249954985482
2021-01-24,164.7249954985482
2021-01-31,164.7249954985482
2021-02-07,164.7249954985482
