week,value
2020-07-19,142.2124928310535
2020-07-26,142.2124928310535
2020-08-02,142.2124928310535
2020-08-09,142.2124928310535
2020-08-16,142.2124928310535
2020-08-23,142.2124928310535
2020-08-30,142.2124928310535
2020-09-06,142.2124928310535
2020-09-13,142.2124928310535
2020-09-20,142.2124928310535
2020-09-27,142.2124928310535
2020-10-04,142.2124928310535
2020-10-11,142.2124928310535
2020-10-18,142.2124928310535
2020-10-25,142.2124928310535
2020-11-01,142.2124928310535
2020-11-08,142.2124928310535
2020-11-15,142.2124928310535
2020-11-22,142.2124928310535
2020-11-29,142.2124928310535
2020-12-06,142.2124928310535
2020-12-13,142.2124928310535
2020-12-20,142.2124928310535
2020-12-27,142.2124928310535
2021-01-03,142.2124928310535
2021-01-10,142.2124928310535
2021-01-17,142.2124928310535
2021-01-24,142.2124928310535
2021-01-31,142.2124928310535
2021-02-07,142.2124928310535
