week,value
2020-07-19,139.51559134715893
2020-07-26,108.92080069169066
2020-08-02,138.92859671559395
2020-08-09,109.4965331871173
2020-08-16,138.36391027986548
2020-08-23,110.05038549392418
2020-08-30,137.8206842373281
2020-09-06,110.58318914873266
2020-09-13,137.29810300530306
2020-09-20,111.09574408637283
2020-09-27,136.79538199658776
2020-10-04,111.58881984088084
2020-10-11,136.31176644150096
2020-10-18,112.06315670085337
2020-10-25,135.84653025469507
2020-11-01,112.51946682089383
2020-11-08,135.3989749450342
2020-11-15,112.9584352908192
2020-11-22,134.96842856690137
2020-11-29,113.38072116423248
2020-12-06,134.55424471136
2020-12-13,113.78695844800541
2020-12-20,134.15580153565605
2020-12-27,114.17775705415646
2021-01-03,133.77250082960234
2021-01-10,114.55370371555394
2021-01-17,133.40376711744452
2021-01-24,114.91536286681836
2021-01-31,133.0490467938596
2021-02-07,115.26327749174705
