week,value
2020-07-19,127.35185877310695
2020-07-26,105.40862950126217
2020-08-02,126.6947068553255
2020-08-09,106.0461011505793
2020-08-16,126.07632609330167
2020-08-23,106.6459627557986
2020-08-30,125.49442903648088
2020-09-06,107.21043326331329
2020-09-13,124.94686319108082
2020-09-20,107.74160070440564
2020-09-27,124.43160305780776
2020-10-04,108.2414299190777
2020-10-11,123.94674263933776
2020-10-18,108.71176982418542
2020-10-25,123.49048838984716
2020-11-01,109.15436025276186
2020-11-08,123.06115258051237
2020-11-15,109.57083838982877
2020-11-22,122.6571470564368
2020-11-29,109.96274482850302
2020-12-06,122.2769773619115
2020-12-13,110.33152926880048
2020-12-20,121.91923721227823
2020-12-27,110.67855588021717
2021-01-03,121.58260329194583
2021-01-10,111.0051083479249
2021-01-17,121.26583035931709
2021-01-24,111.3123946212475
2021-01-31,120.96774664051917
2021-02-07,111.60155138198284
