week,value
2020-07-19,167.05445187831884
2020-07-26,122.57235112434722
2020-08-02,169.26089081862563
2020-08-09,123.74834968521623
2020-08-16,168.1145135015184
2020-08-23,124.86585186328594
2020-08-30,167.02515915076955
2020-09-06,125.9277673787843
2020-09-13,165.98999133665933
2020-09-20,126.93686121697618
2020-09-27,165.00631471882315
2020-10-04,127.89576082755295
2020-10-11,164.07156802820145
2020-10-18,128.80696296591094
2020-10-25,163.18331739808056
2020-11-01,129.67284019413165
2020-11-08,162.33925002685996
2020-11-15,130.49564705859123
2020-11-22,161.5371681560458
2020-11-29,131.27752596028378
2020-12-06,160.77498334779
2020-12-13,132.02051273314387
2020-12-20,160.0507110470755
2020-12-27,132.72654194489274
2021-01-03,159.36246541438877
2021-01-10,133.39745193421038
2021-01-17,158.70845441542457
2021-01-24,134.03498959734932
2021-01-31,158.08697515503843
2021-02-07,134.6408149366531
