week,value
2020-07-19,158.79054970290898
2020-07-26,128.38199873679372
2020-08-02,168.43412589381933
2020-08-09,123.65464658138507
2020-08-16,167.6525128914469
2020-08-23,124.422616752379
2020-08-30,166.89794742011227
2020-09-06,125.1640114992525
2020-09-13,166.16949350647187
2020-09-20,125.87975045820221
2020-09-27,165.4662475663158
2020-10-04,126.5707214416341
2020-10-11,164.78733728374965
2020-10-18,127.23778153941814
2020-10-25,164.13192052916204
2020-11-01,127.88175818203428
2020-11-08,163.49918431463533
2020-11-15,128.5034501669286
2020-11-22,162.88834378550436
2020-11-29,129.10362864935257
2020-12-06,162.29864124681197
2020-12-13,129.68303809891458
2020-12-20,161.72934522345386
2020-12-27,130.24239722303028
2021-01-03,161.17974955284672
2021-01-10,130.78239985841705
2021-01-17,160.64917250899458
2021-01-24,131.3037158317386
2021-01-31,160.13695595686661
2021-02-07,131.80699179046707
