week,value
2020-07-19,94.61036729589398
2020-07-26,99.3277362093784
2020-08-02,100.27027002035301
2020-08-09,100.4585889755
2020-08-16,100.49621524254181
2020-08-23,100.50373299862959
2020-08-30,100.50523505187692
2020-09-06,100.50553516323083
2020-09-13,100.50559512570214
2020-09-20,100.50560710624842
2020-09-27,100.50560949997046
2020-10-04,100.5056099782379
2020-10-11,100.50561007379609
2020-10-18,100.50561009288869
2020-10-25,100.5056100967034
2020-11-01,100.50561009746559
2020-11-08,100.50561009761788
2020-11-15,100.5056100976483
2020-11-22,100.50561009765438
2020-11-29,100.50561009765559
2020-12-06,100.50561009765583
2020-12-13,100.50561009765588
2020-12-20,100.50561009765589
2020-12-27,100.50561009765589
2021-01-03,100.50561009765589
2021-01-10,100.50561009765589
2021-01-17,100.50561009765589
2021-01-24,100.50561009765589
2021-01-31,100.50561009765589
2021-02-07,100.50561009765589
