week,value
2020-07-19,178.33144351766555
2020-07-26,130.8573369985553
2020-08-02,177.22996505882452
2020-08-09,131.93325931986686
2020-08-16,176.1790059300237
2020-08-23,132.95983444386226
2020-08-30,175.17624906124934
2020-09-06,133.93932568066595
2020-09-13,174.2194836549471
2020-09-20,134.87389253364134
2020-09-27,173.30660031183376
2020-10-04,135.76559546048992
2020-10-11,172.43558638026337
2020-10-18,136.61640041598218
2020-10-25,171.60452151889533
2020-11-01,137.42818318633653
2020-11-08,170.81157346288035
2020-11-15,138.20273352480143
2020-11-22,170.05499398423066
2020-11-29,138.94175909755933
2020-12-06,169.33311503746765
2020-12-13,139.64688924865135
2020-12-20,168.64434508204977
2020-12-27,140.31967859222385
2021-01-03,167.98716557347197
2021-01-10,140.96161044001633
2021-01-17,167.36012761530125
2021-01-24,141.57410007164776
2021-01-31,166.76184876476654
2021-02-07,142.15849785491102
