week,value
2020-07-19,133.2311384982204
2020-07-26,157.35501660833302
2020-08-02,159.93661219632668
2020-08-09,171.18370136345334
2020-08-16,188.56027590196823
2020-08-23,149.73257142663707
2020-08-30,141.95923370141614
2020-09-06,126.83523169114675
2020-09-13,152.87001648705365
2020-09-20,168.79682955063757
2020-09-27,170.79235110120325
2020-10-04,144.01021885628396
2020-10-11,155.5970714322098
2020-10-18,167.2589245006022
2020-10-25,137.9646014756063
2020-11-01,157.44266949928152
2020-11-08,140.83089213295256
2020-11-15,133.41744750918872
2020-11-22,154.66814860902042
2020-11-29,106.61944112100045
2020-12-06,159.85383333464466
2020-12-13,179.15405545797807
2020-12-20,134.38758431312579
2020-12-27,152.83616909970377
2021-01-03,151.4067414130975
2021-01-10,161.60996475761794
2021-01-17,140.0202623778233
2021-01-24,167.37949652440608
2021-01-31,137.9692982428887
2021-02-07,143.12003405186476
