week,value
2020-07-19,139.73753158983408
2020-07-26,134.0933804146566
2020-08-02,126.23870120541636
2020-08-09,227.47678879117936
2020-08-16,166.38483938597756
2020-08-23,145.43902816133692
2020-08-30,115.76579559309606
2020-09-06,117.07490879463612
2020-09-13,151.98459416903714
2020-09-20,158.96653124391733
2020-09-27,172.0576632593177
2020-10-04,138.45709108645673
2020-10-11,149.80273883313706
2020-10-18,158.0937891095573
2020-10-25,138.45709108645673
2020-11-01,158.96653124391733
2020-11-08,142.38443069107683
2020-11-15,124.05684586951631
2020-11-22,156.34830484083727
2020-11-29,137.14797788491668
2020-12-06,176.42137393111784
2020-12-13,183.83968207317807
2020-12-20,150.6754809674971
2020-12-27,166.65324024929134
2021-01-03,168.60218444358102
2021-01-10,197.60069265833286
2021-01-17,118.45487485814186
2021-01-24,174.92314985816986
2021-01-31,135.2522192944915
2021-02-07,137.71183609265688
