week,value
2020-07-19,102.29931944622497
2020-07-26,103.23835010872752
2020-08-02,103.44344735636149
2020-08-09,103.48824342390941
2020-08-16,103.49802750288124
2020-08-23,103.50016448066897
2020-08-30,103.50063122609063
2020-09-06,103.500733169728
2020-09-13,103.50075543562438
2020-09-20,103.50076029880324
2020-09-27,103.50076136098858
2020-10-04,103.5007615929845
2020-10-11,103.50076164365561
2020-10-18,103.50076165472288
2020-10-25,103.50076165714012
2020-11-01,103.50076165766808
2020-11-08,103.50076165778339
2020-11-15,103.50076165780857
2020-11-22,103.50076165781407
2020-11-29,103.50076165781527
2020-12-06,103.50076165781553
2020-12-13,103.50076165781559
2020-12-20,103.5007616578156
2020-12-27,103.5007616578156
2021-01-03,103.5007616578156
2021-01-10,103.5007616578156
2021-01-17,103.5007616578156
2021-01-24,103.5007616578156
2021-01-31,103.5007616578156
2021-02-07,103.5007616578156
