week,value
2020-07-19,119.33103054070115
2020-07-26,135.3239010365822
2020-08-02,121.46341327348529
2020-08-09,135.32390103658219
2020-08-16,148.65129311648306
2020-08-23,129.99294420462184
2020-08-30,107.06982982719235
2020-09-06,101.20577731203598
2020-09-13,158.24701541401168
2020-09-20,168.90892907793238
2020-09-27,181.17012979144118
2020-10-04,144.3865276509148
2020-10-11,156.64772836442359
2020-10-18,169.97512044432446
2020-10-25,107.60292551038839
2020-11-01,158.7801110972077
2020-11-08,110.80149960956459
2020-11-15,119.86412622389719
2020-11-22,142.7872406013267
2020-11-29,124.12889168946546
2020-12-06,156.64772836442359
2020-12-13,158.7801110972077
2020-12-20,124.66198737266151
2020-12-27,143.3203362845227
2021-01-03,116.13245644152495
2021-01-10,153.9822499484434
2021-01-17,118.26483917430909
2021-01-24,166.77654634514826
2021-01-31,126.79437010544565
2021-02-07,143.3203362845227
