week,value
2020-07-19,139.8992016990731
2020-07-26,123.23873155130043
2020-08-02,114.90849647741409
2020-08-09,136.9591187318191
2020-08-16,169.79004519948882
2020-08-23,155.57964419109447
2020-08-30,113.92846882166276
2020-09-06,111.96841351016008
2020-09-13,156.55967184684582
2020-09-20,153.12957505171613
2020-09-27,171.26008668311582
2020-10-04,155.08963036321882
2020-10-11,131.56896662518676
2020-10-18,158.51972715834847
2020-10-25,110.49837202653309
2020-11-01,161.94982395347816
2020-11-08,114.41848264953842
2020-11-15,113.92846882166276
2020-11-22,148.22943677295947
2020-11-29,110.49837202653308
2020-12-06,147.24940911720813
2020-12-13,185.4704876915102
2020-12-20,121.27867623979778
2020-12-27,171.26008668311584
2021-01-03,130.0989251415598
2021-01-10,157.53969950259716
2021-01-17,129.6089113136841
2021-01-24,165.37992074860782
2021-01-31,126.17881451855443
2021-02-07,135.9790910760678
