week,value
2020-07-19,302.12710767774115
2020-07-26,233.99768567220138
2020-08-02,320.86826366666173
2020-08-09,308.738841661122
2020-08-16,221.60941965558226
2020-08-23,335.4799976500426
2020-08-30,383.35057564450295
2020-09-06,114.22115363896313
2020-09-13,286.0917316334234
2020-09-20,219.9623096278838
2020-09-27,248.83288762234397
2020-10-04,317.70346561680424
2020-10-11,260.5740436112646
2020-10-18,300.44462160572476
2020-10-25,402.3151996001851
2020-11-01,269.1857775946454
2020-11-08,388.0563555891057
2020-11-15,410.9269335835661
2020-11-22,359.7975115780264
2020-11-29,438.6680895724865
2020-12-06,329.53866756694686
2020-12-13,243.40924556140715
2020-12-20,354.2798235558674
2020-12-27,330.15040155032773
2021-01-03,341.02097954478796
2021-01-10,305.8915575392483
2021-01-17,384.76213553370854
2021-01-24,293.6327135281689
2021-01-31,336.5032915226292
2021-02-07,365.3738695170893
