week,value
2020-07-19,256.5448867996694
2020-07-26,222.25294011679105
2020-08-02,279.96099343391296
2020-08-09,307.6690467510348
2020-08-16,247.37710006815652
2020-08-23,238.08515338527837
2020-08-30,290.79320670239997
2020-09-06,263.5012600195218
2020-09-13,223.2093133366436
2020-09-20,219.91736665376544
2020-09-27,172.62541997088715
2020-10-04,258.3334732880088
2020-10-11,231.04152660513063
2020-10-18,269.7495799222524
2020-10-25,373.4576332393744
2020-11-01,204.16568655649604
2020-11-08,313.8737398736178
2020-11-15,320.58179319073963
2020-11-22,303.2898465078615
2020-11-29,357.99789982498316
2020-12-06,259.705953142105
2020-12-13,136.41400645922678
2020-12-20,300.12205977634846
2020-12-27,250.83011309347035
2021-01-03,291.53816641059217
2021-01-10,274.2462197277139
2021-01-17,340.9542730448357
2021-01-24,233.66232636195753
2021-01-31,352.37037967907924
2021-02-07,334.078432996201
