week,value
2020-07-19,136.7351280345471
2020-07-26,139.7356252857069
2020-08-02,177.73671350184839
2020-08-09,157.7381941717212
2020-08-16,130.7397835239631
2020-08-23,131.7413989244046
2020-08-30,112.74304633982409
2020-09-06,130.7447257516101
2020-09-13,104.74643714116192
2020-09-20,121.74818048988966
2020-09-27,108.74995577921412
2020-10-04,184.75176299056722
2020-10-11,134.75360210539122
2020-10-18,124.75547310513969
2020-10-25,178.75737597127653
2020-11-01,125.75931068527656
2020-11-08,168.7612772286255
2020-11-15,165.76327558281957
2020-11-22,119.7653057293661
2020-11-29,177.76736764978278
2020-12-06,110.76946132559854
2020-12-13,99.77158673835251
2020-12-20,129.77374386959474
2020-12-27,110.7759327008863
2021-01-03,121.77815321379855
2021-01-10,120.78040538991385
2021-01-17,144.78268921082514
2021-01-24,115.78500465813602
2021-01-31,174.78735171346096
2021-02-07,146.78973035842492
