week,value
2020-07-19,249.5210175403091
2020-07-26,239.81742779478242
2020-08-02,318.1138380492559
2020-08-09,276.4102483037293
2020-08-16,215.70665855820252
2020-08-23,317.003068812676
2020-08-30,285.2994790671492
2020-09-06,352.5958893216225
2020-09-13,319.8922995760959
2020-09-20,276.18870983056934
2020-09-27,227.48512008504247
2020-10-04,361.7815303395159
2020-10-11,356.0779405939892
2020-10-18,128.37435084846254
2020-10-25,320.6707611029361
2020-11-01,224.96717135740926
2020-11-08,392.26358161188267
2020-11-15,381.55999186635603
2020-11-22,350.85640212082944
2020-11-29,428.1528123753027
2020-12-06,346.44922262977605
2020-12-13,272.7456328842495
2020-12-20,380.04204313872265
2020-12-27,351.3384533931962
2021-01-03,308.6348636476693
2021-01-10,352.9312739021427
2021-01-17,426.2276841566161
2021-01-24,306.5240944110895
2021-01-31,394.82050466556285
2021-02-07,389.1169149200361
