week,value
2020-07-19,224.599900877594
2020-07-26,181.80750185105913
2020-08-02,213.0151028245244
2020-08-09,239.22270379798965
2020-08-16,200.43030477145481
2020-08-23,220.63790574492
2020-08-30,250.84550671838522
2020-09-06,238.05310769185044
2020-09-13,211.2607086653156
2020-09-20,192.46830963878088
2020-09-27,191.6759106122459
2020-10-04,248.88351158571118
2020-10-11,218.0911125591764
2020-10-18,205.29871353264147
2020-10-25,270.50631450610683
2020-11-01,204.71391547957202
2020-11-08,284.9215164530372
2020-11-15,255.12911742650246
2020-11-22,235.3367183999677
2020-11-29,316.5443193734328
2020-12-06,238.75192034689806
2020-12-13,204.9595213203633
2020-12-20,267.16712229382847
2020-12-27,266.3747232672937
2021-01-03,240.58232424075888
2021-01-10,226.78992521422407
2021-01-17,264.9975261876893
2021-01-24,213.20512716115445
2021-01-31,298.4127281346197
2021-02-07,302.62032910808483
